lat,lon,time,bssid,quality,rssi,essid
-31.978469,115.81722,20-09-15-17-46-47,70:DF:2F:9E:60:4F,35/70,-75,Unifi
-31.978469,115.81722,20-09-15-17-46-47,A0:CF:5B:3E:2D:E0,38/70,-72,Unifi
-31.978469,115.81722,20-09-15-17-46-47,A0:CF:5B:3E:2D:EF,31/70,-79,Unifi
-31.978469,115.81722,20-09-15-17-46-47,00:2C:C8:A3:37:EF,28/70,-82,Unifi
-31.978469,115.81722,20-09-15-17-46-47,70:7D:B9:ED:AA:6F,30/70,-80,Unifi
-31.978469,115.81722,20-09-15-17-46-47,70:DF:2F:C0:7C:2F,31/70,-79,Unifi
-31.978469,115.81722,20-09-15-17-46-47,A0:CF:5B:3C:33:DF,31/70,-79,Unifi
-31.978469,115.81722,20-09-15-17-46-47,74:88:BB:26:16:2F,32/70,-78,Unifi
-31.978469,115.81722,20-09-15-17-46-47,74:88:BB:26:16:20,31/70,-79,Unifi
-31.978469,115.81722,20-09-15-17-46-47,70:DF:2F:C0:7C:20,38/70,-72,Unifi
-31.978469,115.81722,20-09-15-17-46-47,A0:3D:6F:5F:BF:4F,26/70,-84,Unifi
-31.978469,115.81722,20-09-15-17-46-47,A0:CF:5B:3C:33:D0,31/70,-79,Unifi
-31.978469,115.81722,20-09-15-17-46-47,7C:21:0E:3E:6A:A0,35/70,-75,Unifi
-31.978469,115.81722,20-09-15-17-46-47,74:88:BB:86:53:8F,32/70,-78,Unifi
-31.978469,115.81722,20-09-15-17-46-47,70:DF:2F:9E:60:40,35/70,-75,Unifi
-31.978469,115.81722,20-09-15-17-46-47,7C:21:0E:3E:6F:A0,30/70,-80,Unifi
-31.978469,115.81722,20-09-15-17-46-47,B8:62:1F:E8:A9:3F,28/70,-82,Unifi
-31.978469,115.81722,20-09-15-17-46-47,00:2C:C8:B0:3E:CF,26/70,-84,Unifi
-31.978424,115.81722,20-09-15-17-47-08,7C:21:0E:3E:6A:AF,34/70,-76,Unifi
-31.978424,115.81722,20-09-15-17-47-08,7C:21:0E:3E:68:2F,35/70,-75,Unifi
-31.978424,115.81722,20-09-15-17-47-08,70:DF:2F:9E:60:4F,35/70,-75,Unifi
-31.978424,115.81722,20-09-15-17-47-08,A0:CF:5B:3E:2D:E0,35/70,-75,Unifi
-31.978424,115.81722,20-09-15-17-47-08,A0:CF:5B:3E:2D:EF,32/70,-78,Unifi
-31.978424,115.81722,20-09-15-17-47-08,70:DF:2F:C0:7C:2F,32/70,-78,Unifi
-31.978424,115.81722,20-09-15-17-47-08,A0:CF:5B:3C:33:DF,31/70,-79,Unifi
-31.978424,115.81722,20-09-15-17-47-08,74:88:BB:26:16:2F,29/70,-81,Unifi
-31.978424,115.81722,20-09-15-17-47-08,74:88:BB:26:16:20,31/70,-79,Unifi
-31.978424,115.81722,20-09-15-17-47-08,A0:CF:5B:3C:33:D0,30/70,-80,Unifi
-31.978424,115.81722,20-09-15-17-47-08,7C:21:0E:3E:6A:A0,37/70,-73,Unifi
-31.978424,115.81722,20-09-15-17-47-08,70:DF:2F:9E:60:40,35/70,-75,Unifi
-31.978424,115.81722,20-09-15-17-47-08,7C:21:0E:3E:6F:A0,30/70,-80,Unifi
-31.978424,115.81722,20-09-15-17-47-08,B8:62:1F:E8:A9:3F,28/70,-82,Unifi
-31.978424,115.81722,20-09-15-17-47-08,00:2C:C8:B0:3E:CF,26/70,-84,Unifi
-31.978424,115.81722,20-09-15-17-47-08,00:2C:C8:12:51:8F,38/70,-72,Unifi
-31.978424,115.81722,20-09-15-17-47-08,A0:CF:5B:3C:13:6F,33/70,-77,Unifi
-31.978424,115.81722,20-09-15-17-47-08,A0:CF:5B:3D:5E:F0,26/70,-84,Unifi
