20-09-15-17-53-52,70:DB:98:88:D6:4F,36/70,-74,Unifi
20-09-15-17-53-52,E8:65:49:33:06:F0,40/70,-70,Unifi
20-09-15-17-53-52,E8:65:49:53:9D:C0,44/70,-66,Unifi
20-09-15-17-53-52,E8:65:49:33:06:FF,31/70,-79,Unifi
20-09-15-17-53-52,E8:65:49:53:9D:CF,37/70,-73,Unifi
20-09-15-17-53-52,7C:21:0E:3E:6A:AF,31/70,-79,Unifi
20-09-15-17-53-52,A0:CF:5B:3F:85:F0,27/70,-83,Unifi
20-09-15-17-53-52,70:DF:2F:C6:51:04,29/70,-81,T_Unifi
20-09-15-17-53-52,28:6F:7F:90:B2:6F,26/70,-84,Unifi
20-09-15-17-53-52,A0:CF:5B:3F:88:B0,33/70,-77,Unifi
20-09-15-17-53-52,70:DF:2F:99:83:CF,28/70,-82,Unifi
20-09-15-17-53-52,70:DF:2F:C6:51:0F,26/70,-84,Unifi
20-09-15-17-53-52,70:DF:2F:C6:51:0B,25/70,-85,T_Unifi
