20-09-15-17-52-36,7C:21:0E:3E:6A:AF,30/70,-80,Unifi
20-09-15-17-52-36,E8:65:49:15:A9:4F,25/70,-85,Unifi
20-09-15-17-52-36,A0:CF:5B:3F:85:F0,38/70,-72,Unifi
20-09-15-17-52-36,E8:65:49:32:FD:C0,37/70,-73,Unifi
20-09-15-17-52-36,70:DF:2F:99:83:CF,24/70,-86,Unifi
20-09-15-17-52-36,E8:65:49:32:FD:CF,26/70,-84,Unifi
20-09-15-17-52-36,A0:CF:5B:3F:85:FF,35/70,-75,Unifi
20-09-15-17-52-36,E8:65:49:53:9D:CF,29/70,-81,Unifi
20-09-15-17-52-36,28:6F:7F:90:B2:6F,28/70,-82,Unifi
20-09-15-17-52-36,E8:65:49:3D:35:70,30/70,-80,Unifi
20-09-15-17-52-36,E8:65:49:3D:35:7F,24/70,-86,Unifi
20-09-15-17-52-36,E8:65:49:3F:FD:B0,29/70,-81,Unifi
20-09-15-17-52-36,A0:CF:5B:3D:70:3F,23/70,-87,Unifi
20-09-15-17-52-36,E8:65:49:53:9D:C0,31/70,-79,Unifi
20-09-15-17-52-36,A0:CF:5B:3D:70:30,30/70,-80,Unifi
20-09-15-17-52-36,E8:65:49:33:06:F0,34/70,-76,Unifi
20-09-15-17-52-36,70:DB:98:88:D6:4F,33/70,-77,Unifi
