20-09-15-17-54-37,70:DB:98:88:D6:4F,41/70,-69,Unifi
20-09-15-17-54-37,E8:65:49:33:06:F0,35/70,-75,Unifi
20-09-15-17-54-37,E8:65:49:53:9D:C0,38/70,-72,Unifi
20-09-15-17-54-37,E8:65:49:33:06:FF,28/70,-82,Unifi
20-09-15-17-54-37,E8:65:49:53:9D:CF,36/70,-74,Unifi
20-09-15-17-54-37,A0:CF:5B:3F:88:B0,30/70,-80,Unifi
20-09-15-17-54-37,70:DF:2F:99:83:CF,31/70,-79,Unifi
20-09-15-17-54-37,70:DF:2F:C6:51:0F,28/70,-82,Unifi
20-09-15-17-54-37,70:DF:2F:C6:51:0B,26/70,-84,T_Unifi
20-09-15-17-54-37,80:E8:6F:E3:49:20,34/70,-76,Unifi
20-09-15-17-54-37,70:DB:98:88:D6:40,33/70,-77,Unifi
20-09-15-17-54-37,70:DF:2F:99:83:C0,34/70,-76,Unifi
20-09-15-17-54-37,E8:65:49:40:09:D0,23/70,-87,Unifi
