20-09-15-17-46-01,7C:21:0E:3E:6A:AF,32/70,-78,Unifi
20-09-15-17-46-01,A0:CF:5B:3D:5E:F0,33/70,-77,Unifi
20-09-15-17-46-01,7C:21:0E:3E:6A:A0,30/70,-80,Unifi
20-09-15-17-46-01,7C:21:0E:3E:68:2F,28/70,-82,Unifi
20-09-15-17-46-01,70:DF:2F:9E:60:40,36/70,-74,Unifi
20-09-15-17-46-01,70:DF:2F:9E:60:4F,34/70,-76,Unifi
20-09-15-17-46-01,00:2C:C8:A3:37:E0,37/70,-73,Unifi
20-09-15-17-46-01,38:0E:4D:E1:55:A0,30/70,-80,Unifi
20-09-15-17-46-01,A0:CF:5B:3E:2D:E0,31/70,-79,Unifi
20-09-15-17-46-01,A0:CF:5B:3E:2D:EF,35/70,-75,Unifi
20-09-15-17-46-01,00:2C:C8:A3:37:EF,40/70,-70,Unifi
20-09-15-17-46-01,B8:62:1F:7D:E0:8F,32/70,-78,Unifi
20-09-15-17-46-01,70:7D:B9:ED:AA:6F,29/70,-81,Unifi
20-09-15-17-46-01,70:DF:2F:C0:7C:2F,25/70,-85,Unifi
20-09-15-17-46-01,38:0E:4D:36:D0:CF,28/70,-82,Unifi
