20-09-12-16-36-44,7C:21:0E:3E:6A:AF,36/70,-74,Unifi
20-09-12-16-36-44,A0:CF:5B:3D:59:AF,44/70,-66,Unifi
20-09-12-16-36-44,7C:21:0E:3E:6F:AF,35/70,-75,Unifi
20-09-12-16-36-44,7C:21:0E:3E:68:2F,31/70,-79,Unifi
20-09-12-16-36-44,A0:3D:6F:5F:BF:4F,33/70,-77,Unifi
20-09-12-16-36-44,7C:21:0E:3E:68:20,38/70,-72,Unifi
20-09-12-16-36-44,00:2C:C8:01:DC:2F,25/70,-85,Unifi
20-09-12-16-36-44,A0:CF:5B:3D:59:A0,39/70,-71,Unifi
20-09-12-16-36-44,78:72:5D:77:F2:EF,36/70,-74,Unifi
20-09-12-16-36-44,28:6F:7F:C5:32:4F,30/70,-80,Unifi
20-09-12-16-36-44,28:6F:7F:CB:FB:4F,26/70,-84,Unifi
20-09-12-16-36-44,00:A6:CA:FC:E6:6F,29/70,-81,Unifi
20-09-12-16-36-44,A0:3D:6F:5F:BF:40,40/70,-70,Unifi
20-09-12-16-36-44,A0:CF:5B:3C:13:6F,30/70,-80,Unifi
