20-09-12-16-35-59,7C:21:0E:3E:6A:AF,33/70,-77,Unifi
20-09-12-16-35-59,A0:CF:5B:3D:59:AF,33/70,-77,Unifi
20-09-12-16-35-59,A0:93:51:8D:CE:AF,26/70,-84,Unifi
20-09-12-16-35-59,7C:21:0E:3E:6F:AF,28/70,-82,Unifi
20-09-12-16-35-59,7C:21:0E:3E:68:2F,54/70,-56,Unifi
20-09-12-16-35-59,78:72:5D:BE:F5:2F,27/70,-83,Unifi
20-09-12-16-35-59,78:72:5D:6F:DE:6F,33/70,-77,Unifi
20-09-12-16-35-59,A0:CF:5B:3D:59:A0,36/70,-74,Unifi
20-09-12-16-35-59,A0:3D:6F:5F:BF:4F,25/70,-85,Unifi
20-09-12-16-35-59,58:AC:78:DF:EA:20,29/70,-81,Unifi
20-09-12-16-35-59,78:72:5D:77:F2:E0,42/70,-68,Unifi
20-09-12-16-35-59,E8:65:49:3D:42:CF,26/70,-84,Unifi
20-09-12-16-35-59,00:A6:CA:FC:E6:6F,25/70,-85,Unifi
20-09-12-16-35-59,58:AC:78:D2:7C:4F,26/70,-84,Unifi
