20-09-12-16-06-01,A0:CF:5B:3D:7F:D0,28/70,-82,Unifi
20-09-12-16-06-01,70:DF:2F:9C:47:40,31/70,-79,Unifi
20-09-12-16-06-01,10:BD:18:F0:C8:A0,30/70,-80,Unifi
20-09-12-16-06-01,A0:CF:5B:3F:88:EF,29/70,-81,Unifi
20-09-12-16-06-01,10:BD:18:C7:29:EF,28/70,-82,Unifi
20-09-12-16-06-01,10:BD:18:F0:CA:BF,25/70,-85,Unifi
20-09-12-16-06-01,70:DF:2F:9C:47:4F,27/70,-83,Unifi
20-09-12-16-06-01,A0:CF:5B:3E:17:50,26/70,-84,Unifi
20-09-12-16-06-01,A0:CF:5B:3E:17:5F,26/70,-84,Unifi
20-09-12-16-06-01,10:BD:18:C7:27:5F,27/70,-83,Unifi
