20-09-12-15-57-10,A0:CF:5B:3D:7F:D0,35/70,-75,Unifi
20-09-12-15-57-10,10:BD:18:F0:C8:A0,26/70,-84,Unifi
20-09-12-15-57-10,10:BD:18:C7:29:E0,27/70,-83,Unifi
20-09-12-15-57-10,A0:CF:5B:3E:17:50,30/70,-80,Unifi
20-09-12-15-57-10,38:ED:18:D0:EF:60,32/70,-78,Unifi
20-09-12-15-57-10,A0:CF:5B:3E:17:5F,29/70,-81,Unifi
20-09-12-15-57-10,10:BD:18:F0:CA:BF,37/70,-73,Unifi
20-09-12-15-57-10,A0:CF:5B:3F:69:30,26/70,-84,Unifi
20-09-12-15-57-10,A0:CF:5B:3D:5F:90,28/70,-82,Unifi
20-09-12-15-57-10,A0:CF:5B:3D:83:70,26/70,-84,Unifi
