lat,lon,time,bssid,quality,rssi,essid
-31.976879,115.817472,20-09-12-15-48-16,A0:CF:5B:3D:5F:90,42/70,-68,Unifi
-31.976879,115.817472,20-09-12-15-48-16,A0:CF:5B:3D:5F:9F,36/70,-74,Unifi
-31.976879,115.817472,20-09-12-15-48-16,A0:CF:5B:3D:7F:90,36/70,-74,Unifi
-31.976879,115.817472,20-09-12-15-48-16,38:ED:18:D0:EF:6F,31/70,-79,Unifi
-31.976879,115.817472,20-09-12-15-48-16,40:CE:24:C4:DB:2F,27/70,-83,Unifi
-31.976879,115.817472,20-09-12-15-48-16,38:ED:18:D0:EF:60,34/70,-76,Unifi
-31.976879,115.817472,20-09-12-15-48-16,40:CE:24:C4:DB:20,34/70,-76,Unifi
-31.976829,115.817472,20-09-12-15-48-26,A0:CF:5B:3D:5F:90,50/70,-60,Unifi
-31.976829,115.817472,20-09-12-15-48-26,A0:CF:5B:3D:5F:9F,32/70,-78,Unifi
-31.976829,115.817472,20-09-12-15-48-26,A0:CF:5B:3D:7F:90,36/70,-74,Unifi
-31.976829,115.817472,20-09-12-15-48-26,38:ED:18:D0:EF:6F,31/70,-79,Unifi
-31.976829,115.817472,20-09-12-15-48-26,40:CE:24:C4:DB:2F,32/70,-78,Unifi
-31.976829,115.817472,20-09-12-15-48-26,38:ED:18:D0:EF:60,34/70,-76,Unifi
-31.976829,115.817472,20-09-12-15-48-26,40:CE:24:C4:DB:20,34/70,-76,Unifi
-31.976829,115.817472,20-09-12-15-48-26,A0:CF:5B:3E:16:B0,29/70,-81,Unifi
-31.976779,115.817472,20-09-12-15-48-36,A0:CF:5B:3D:5F:90,50/70,-60,Unifi
-31.976779,115.817472,20-09-12-15-48-36,A0:CF:5B:3D:5F:9F,32/70,-78,Unifi
-31.976779,115.817472,20-09-12-15-48-36,A0:CF:5B:3D:7F:90,36/70,-74,Unifi
-31.976779,115.817472,20-09-12-15-48-36,38:ED:18:D0:EF:6F,31/70,-79,Unifi
-31.976779,115.817472,20-09-12-15-48-36,40:CE:24:C4:DB:2F,32/70,-78,Unifi
-31.976779,115.817472,20-09-12-15-48-36,38:ED:18:D0:EF:60,34/70,-76,Unifi
-31.976779,115.817472,20-09-12-15-48-36,40:CE:24:C4:DB:20,34/70,-76,Unifi
-31.976779,115.817472,20-09-12-15-48-36,A0:CF:5B:3E:16:B0,27/70,-83,Unifi
-31.976779,115.817472,20-09-12-15-48-36,40:CE:24:85:C4:00,26/70,-84,Unifi
-31.976729,115.817472,20-09-12-15-48-44,A0:CF:5B:3D:5F:90,46/70,-64,Unifi
-31.976729,115.817472,20-09-12-15-48-44,A0:CF:5B:3D:5F:9F,29/70,-81,Unifi
-31.976729,115.817472,20-09-12-15-48-44,40:CE:24:C4:DB:2F,30/70,-80,Unifi
-31.976729,115.817472,20-09-12-15-48-44,38:ED:18:D0:EF:60,34/70,-76,Unifi
-31.976729,115.817472,20-09-12-15-48-44,40:CE:24:C4:DB:20,33/70,-77,Unifi
-31.976729,115.817472,20-09-12-15-48-44,A0:CF:5B:3E:16:B0,27/70,-83,Unifi
-31.976729,115.817472,20-09-12-15-48-44,40:CE:24:85:C4:00,26/70,-84,Unifi
-31.976729,115.817472,20-09-12-15-48-44,A0:CF:5B:3F:69:30,37/70,-73,Unifi
-31.976679,115.817472,20-09-12-15-48-58,A0:CF:5B:3D:5F:90,43/70,-67,Unifi
-31.976679,115.817472,20-09-12-15-48-58,A0:CF:5B:3D:5F:9F,29/70,-81,Unifi
-31.976679,115.817472,20-09-12-15-48-58,40:CE:24:C4:DB:2F,30/70,-80,Unifi
-31.976679,115.817472,20-09-12-15-48-58,40:CE:24:C4:DB:20,33/70,-77,Unifi
-31.976679,115.817472,20-09-12-15-48-58,A0:CF:5B:3E:16:B0,27/70,-83,Unifi
-31.976679,115.817472,20-09-12-15-48-58,40:CE:24:85:C4:00,26/70,-84,Unifi
-31.976679,115.817472,20-09-12-15-48-58,A0:CF:5B:3F:69:30,34/70,-76,Unifi
-31.976679,115.817472,20-09-12-15-48-58,40:CE:24:85:C4:0F,32/70,-78,Unifi
-31.976629,115.817472,20-09-12-15-49-07,A0:CF:5B:3D:5F:90,43/70,-67,Unifi
-31.976629,115.817472,20-09-12-15-49-07,A0:CF:5B:3D:5F:9F,29/70,-81,Unifi
-31.976629,115.817472,20-09-12-15-49-07,40:CE:24:C4:DB:2F,30/70,-80,Unifi
-31.976629,115.817472,20-09-12-15-49-07,40:CE:24:C4:DB:20,33/70,-77,Unifi
-31.976629,115.817472,20-09-12-15-49-07,A0:CF:5B:3E:16:B0,36/70,-74,Unifi
-31.976629,115.817472,20-09-12-15-49-07,A0:CF:5B:3F:69:30,49/70,-61,Unifi
-31.976629,115.817472,20-09-12-15-49-07,40:CE:24:85:C4:0F,32/70,-78,Unifi
-31.976629,115.817472,20-09-12-15-49-07,A0:CF:5B:3F:87:E0,26/70,-84,Unifi
-31.976629,115.817472,20-09-12-15-49-07,A0:CF:5B:3E:16:BF,38/70,-72,Unifi
-31.976629,115.817472,20-09-12-15-49-07,A0:CF:5B:3F:69:3F,33/70,-77,Unifi
-31.976629,115.817472,20-09-12-15-49-07,70:DF:2F:9C:47:4F,24/70,-86,Unifi
-31.976579,115.817472,20-09-12-15-49-18,A0:CF:5B:3D:5F:90,37/70,-73,Unifi
-31.976579,115.817472,20-09-12-15-49-18,A0:CF:5B:3D:5F:9F,29/70,-81,Unifi
-31.976579,115.817472,20-09-12-15-49-18,40:CE:24:C4:DB:2F,30/70,-80,Unifi
-31.976579,115.817472,20-09-12-15-49-18,40:CE:24:C4:DB:20,33/70,-77,Unifi
-31.976579,115.817472,20-09-12-15-49-18,A0:CF:5B:3E:16:B0,29/70,-81,Unifi
-31.976579,115.817472,20-09-12-15-49-18,A0:CF:5B:3F:69:30,45/70,-65,Unifi
-31.976579,115.817472,20-09-12-15-49-18,40:CE:24:85:C4:0F,32/70,-78,Unifi
-31.976579,115.817472,20-09-12-15-49-18,A0:CF:5B:3F:87:E0,33/70,-77,Unifi
-31.976579,115.817472,20-09-12-15-49-18,A0:CF:5B:3E:16:BF,38/70,-72,Unifi
-31.976579,115.817472,20-09-12-15-49-18,A0:CF:5B:3F:69:3F,36/70,-74,Unifi
-31.976579,115.817472,20-09-12-15-49-18,70:DF:2F:9C:47:4F,24/70,-86,Unifi
-31.976529,115.817472,20-09-12-15-49-28,A0:CF:5B:3D:5F:90,39/70,-71,Unifi
-31.976529,115.817472,20-09-12-15-49-28,A0:CF:5B:3D:5F:9F,29/70,-81,Unifi
-31.976529,115.817472,20-09-12-15-49-28,A0:CF:5B:3E:16:B0,29/70,-81,Unifi
-31.976529,115.817472,20-09-12-15-49-28,A0:CF:5B:3F:69:30,40/70,-70,Unifi
-31.976529,115.817472,20-09-12-15-49-28,A0:CF:5B:3F:87:E0,37/70,-73,Unifi
-31.976529,115.817472,20-09-12-15-49-28,A0:CF:5B:3E:16:BF,38/70,-72,Unifi
-31.976529,115.817472,20-09-12-15-49-28,A0:CF:5B:3F:69:3F,35/70,-75,Unifi
-31.976529,115.817472,20-09-12-15-49-28,70:DF:2F:9C:47:4F,24/70,-86,Unifi
-31.976479,115.817472,20-09-12-15-49-42,A0:CF:5B:3D:5F:90,30/70,-80,Unifi
-31.976479,115.817472,20-09-12-15-49-42,A0:CF:5B:3E:16:B0,29/70,-81,Unifi
-31.976479,115.817472,20-09-12-15-49-42,A0:CF:5B:3F:69:30,40/70,-70,Unifi
-31.976479,115.817472,20-09-12-15-49-42,A0:CF:5B:3F:87:E0,36/70,-74,Unifi
-31.976479,115.817472,20-09-12-15-49-42,A0:CF:5B:3F:69:3F,39/70,-71,Unifi
