20-09-15-18-06-35,7C:21:0E:3E:6F:AF,47/70,-63,Unifi
20-09-15-18-06-35,7C:21:0E:3E:6A:AF,41/70,-69,Unifi
20-09-15-18-06-35,00:A6:CA:FC:E6:6F,43/70,-67,Unifi
20-09-15-18-06-35,A0:3D:6F:5F:BF:4F,38/70,-72,Unifi
20-09-15-18-06-35,28:6F:7F:C5:32:4F,39/70,-71,Unifi
20-09-15-18-06-35,28:6F:7F:CB:FB:4F,34/70,-76,Unifi
20-09-15-18-06-35,A0:CF:5B:3D:59:AF,33/70,-77,Unifi
20-09-15-18-06-35,00:2C:C8:01:DC:2F,45/70,-65,Unifi
20-09-15-18-06-35,A0:CF:5B:3D:59:A0,48/70,-62,Unifi
20-09-15-18-06-35,7C:21:0E:3E:68:20,44/70,-66,Unifi
20-09-15-18-06-35,7C:21:0E:3E:6F:A0,52/70,-58,Unifi
