lat,lon,time,bssid,quality,rssi,essid
-31.981019,115.817555,20-09-15-15-55-43,A0:CF:5B:3E:18:7F,35/70,-75,Unifi
-31.981019,115.817555,20-09-15-15-55-43,A0:CF:5B:3E:26:F0,33/70,-77,Unifi
-31.981019,115.817555,20-09-15-15-55-43,A0:CF:5B:3C:2E:BF,33/70,-77,Unifi
-31.981019,115.817555,20-09-15-15-55-43,10:BD:18:F1:01:2F,25/70,-85,Unifi
-31.981019,115.817608,20-09-15-15-55-53,A0:CF:5B:3C:35:9F,31/70,-79,Unifi
-31.981019,115.817608,20-09-15-15-55-53,7C:21:0E:3E:6A:6F,33/70,-77,Unifi
-31.981019,115.817608,20-09-15-15-55-53,10:BD:18:C7:27:7F,27/70,-83,Unifi
-31.981019,115.817608,20-09-15-15-55-53,10:BD:18:C6:D6:7F,29/70,-81,Unifi
-31.981019,115.817608,20-09-15-15-55-53,40:CE:24:E2:E2:0F,26/70,-84,Unifi
-31.981019,115.817608,20-09-15-15-55-53,10:BD:18:5E:A6:E0,37/70,-73,Unifi
-31.981019,115.817608,20-09-15-15-55-53,A0:CF:5B:3E:18:70,33/70,-77,Unifi
-31.981019,115.817608,20-09-15-15-55-53,10:BD:18:C6:D6:70,28/70,-82,Unifi
-31.981019,115.817608,20-09-15-15-55-53,A0:CF:5B:3C:35:90,36/70,-74,Unifi
-31.981019,115.817608,20-09-15-15-55-53,00:2C:C8:B0:40:20,26/70,-84,Unifi
-31.981019,115.817608,20-09-15-15-55-53,10:BD:18:C7:27:70,27/70,-83,Unifi
-31.981019,115.817608,20-09-15-15-55-53,A0:CF:5B:3E:26:FF,31/70,-79,Unifi
-31.981019,115.817608,20-09-15-15-55-53,A0:CF:5B:3E:18:7F,33/70,-77,Unifi
-31.981019,115.817608,20-09-15-15-55-53,A0:CF:5B:3E:26:F0,33/70,-77,Unifi
-31.981019,115.817608,20-09-15-15-55-53,A0:CF:5B:3C:2E:BF,33/70,-77,Unifi
-31.981019,115.817608,20-09-15-15-55-53,10:BD:18:F1:01:2F,25/70,-85,Unifi
-31.981019,115.817661,20-09-15-15-56-32,A0:CF:5B:3C:35:9F,32/70,-78,Unifi
-31.981019,115.817661,20-09-15-15-56-32,10:BD:18:C7:27:7F,27/70,-83,Unifi
-31.981019,115.817661,20-09-15-15-56-32,10:BD:18:C6:D6:7F,26/70,-84,Unifi
-31.981019,115.817661,20-09-15-15-56-32,40:CE:24:E2:E2:0F,26/70,-84,Unifi
-31.981019,115.817661,20-09-15-15-56-32,10:BD:18:5E:A6:E0,35/70,-75,Unifi
-31.981019,115.817661,20-09-15-15-56-32,A0:CF:5B:3E:18:70,31/70,-79,Unifi
-31.981019,115.817661,20-09-15-15-56-32,10:BD:18:C7:27:70,24/70,-86,Unifi
-31.981019,115.817661,20-09-15-15-56-32,A0:CF:5B:3E:18:7F,26/70,-84,Unifi
-31.981019,115.817661,20-09-15-15-56-32,A0:CF:5B:3E:26:F0,30/70,-80,Unifi
-31.981019,115.817661,20-09-15-15-56-32,A0:CF:5B:3F:8B:DF,28/70,-82,Unifi
-31.981019,115.817661,20-09-15-15-56-32,10:BD:18:5E:A6:EF,28/70,-82,Unifi
-31.981019,115.817661,20-09-15-15-56-32,7C:21:0E:3E:68:AF,27/70,-83,Unifi
-31.981019,115.817661,20-09-15-15-56-32,A0:CF:5B:3C:35:90,23/70,-87,Unifi
-31.981019,115.817661,20-09-15-15-56-32,7C:21:0E:3E:6A:6F,34/70,-76,Unifi
-31.981019,115.817714,20-09-15-15-56-42,A0:CF:5B:3C:35:9F,33/70,-77,Unifi
-31.981019,115.817714,20-09-15-15-56-42,10:BD:18:C7:27:7F,27/70,-83,Unifi
-31.981019,115.817714,20-09-15-15-56-42,10:BD:18:5E:A6:EF,29/70,-81,Unifi
-31.981019,115.817714,20-09-15-15-56-42,7C:21:0E:3E:68:AF,25/70,-85,Unifi
-31.981019,115.817714,20-09-15-15-56-42,7C:21:0E:3E:6A:6F,40/70,-70,Unifi
-31.981019,115.817714,20-09-15-15-56-42,A0:CF:5B:3E:73:70,29/70,-81,Unifi
-31.981019,115.817714,20-09-15-15-56-42,40:CE:24:E2:E2:0F,26/70,-84,Unifi
-31.981019,115.817714,20-09-15-15-56-42,10:BD:18:5E:A6:E0,38/70,-72,Unifi
-31.981019,115.817714,20-09-15-15-56-42,A0:CF:5B:3F:8B:D0,25/70,-85,Unifi
-31.981019,115.817714,20-09-15-15-56-42,A0:CF:5B:3C:35:90,27/70,-83,Unifi
-31.981019,115.817767,20-09-15-15-56-51,A0:CF:5B:3C:35:9F,38/70,-72,Unifi
-31.981019,115.817767,20-09-15-15-56-51,10:BD:18:C7:27:7F,27/70,-83,Unifi
-31.981019,115.817767,20-09-15-15-56-51,10:BD:18:5E:A6:EF,30/70,-80,Unifi
-31.981019,115.817767,20-09-15-15-56-51,7C:21:0E:3E:68:AF,25/70,-85,Unifi
-31.981019,115.817767,20-09-15-15-56-51,7C:21:0E:3E:6A:6F,35/70,-75,Unifi
-31.981019,115.817767,20-09-15-15-56-51,A0:CF:5B:3E:73:70,29/70,-81,Unifi
-31.981019,115.817767,20-09-15-15-56-51,40:CE:24:E2:E2:0F,26/70,-84,Unifi
-31.981019,115.817767,20-09-15-15-56-51,10:BD:18:5E:A6:E0,38/70,-72,Unifi
-31.981019,115.817767,20-09-15-15-56-51,A0:CF:5B:3F:8B:D0,25/70,-85,Unifi
-31.981019,115.817767,20-09-15-15-56-51,A0:CF:5B:3C:35:90,27/70,-83,Unifi
-31.981019,115.81782,20-09-15-15-57-01,A0:CF:5B:3C:35:9F,39/70,-71,Unifi
-31.981019,115.81782,20-09-15-15-57-01,10:BD:18:5E:A6:EF,30/70,-80,Unifi
-31.981019,115.81782,20-09-15-15-57-01,7C:21:0E:3E:68:AF,25/70,-85,Unifi
-31.981019,115.81782,20-09-15-15-57-01,7C:21:0E:3E:6A:6F,37/70,-73,Unifi
-31.981019,115.81782,20-09-15-15-57-01,A0:CF:5B:3E:73:70,29/70,-81,Unifi
-31.981019,115.81782,20-09-15-15-57-01,40:CE:24:E2:E2:0F,26/70,-84,Unifi
-31.981019,115.81782,20-09-15-15-57-01,10:BD:18:5E:A6:E0,38/70,-72,Unifi
-31.981019,115.81782,20-09-15-15-57-01,A0:CF:5B:3F:8B:D0,25/70,-85,Unifi
-31.981019,115.81782,20-09-15-15-57-01,A0:CF:5B:3C:35:90,27/70,-83,Unifi
-31.981019,115.81782,20-09-15-15-57-01,A0:CF:5B:3E:26:F0,28/70,-82,Unifi
-31.981019,115.817873,20-09-15-15-57-11,A0:CF:5B:3C:35:9F,35/70,-75,Unifi
-31.981019,115.817873,20-09-15-15-57-11,10:BD:18:5E:A6:EF,30/70,-80,Unifi
-31.981019,115.817873,20-09-15-15-57-11,7C:21:0E:3E:68:AF,25/70,-85,Unifi
-31.981019,115.817873,20-09-15-15-57-11,7C:21:0E:3E:6A:6F,33/70,-77,Unifi
-31.981019,115.817873,20-09-15-15-57-11,A0:CF:5B:3E:73:70,29/70,-81,Unifi
-31.981019,115.817873,20-09-15-15-57-11,10:BD:18:5E:A6:E0,36/70,-74,Unifi
-31.981019,115.817873,20-09-15-15-57-11,A0:CF:5B:3F:8B:D0,25/70,-85,Unifi
-31.981019,115.817873,20-09-15-15-57-11,A0:CF:5B:3C:35:90,27/70,-83,Unifi
-31.981019,115.817873,20-09-15-15-57-11,A0:CF:5B:3E:26:F0,28/70,-82,Unifi
-31.981019,115.817926,20-09-15-15-57-26,A0:CF:5B:3C:35:9F,31/70,-79,Unifi
-31.981019,115.817926,20-09-15-15-57-26,7C:21:0E:3E:68:AF,25/70,-85,Unifi
-31.981019,115.817926,20-09-15-15-57-26,7C:21:0E:3E:6A:6F,25/70,-85,Unifi
-31.981019,115.817926,20-09-15-15-57-26,A0:CF:5B:3E:73:70,29/70,-81,Unifi
-31.981019,115.817926,20-09-15-15-57-26,10:BD:18:5E:A6:E0,38/70,-72,Unifi
-31.981019,115.817926,20-09-15-15-57-26,A0:CF:5B:3E:26:F0,28/70,-82,Unifi
-31.981019,115.817926,20-09-15-15-57-26,10:BD:18:5E:A6:EF,28/70,-82,Unifi
-31.981019,115.817979,20-09-15-15-57-49,A0:CF:5B:3C:35:9F,32/70,-78,Unifi
-31.981019,115.817979,20-09-15-15-57-49,7C:21:0E:3E:6A:6F,30/70,-80,Unifi
-31.981019,115.817979,20-09-15-15-57-49,10:BD:18:5E:A6:E0,34/70,-76,Unifi
-31.981019,115.817979,20-09-15-15-57-49,10:BD:18:5E:A6:EF,28/70,-82,Unifi
-31.981019,115.817979,20-09-15-15-57-49,7C:21:0E:3E:68:AF,22/70,-88,Unifi
-31.981019,115.817979,20-09-15-15-57-49,10:BD:18:C7:27:7F,25/70,-85,Unifi
-31.981019,115.818032,20-09-15-15-57-56,A0:CF:5B:3C:35:9F,32/70,-78,Unifi
-31.981019,115.818032,20-09-15-15-57-56,7C:21:0E:3E:6A:6F,30/70,-80,Unifi
-31.981019,115.818032,20-09-15-15-57-56,10:BD:18:5E:A6:E0,35/70,-75,Unifi
-31.981019,115.818032,20-09-15-15-57-56,7C:21:0E:3E:68:AF,22/70,-88,Unifi
-31.981019,115.818032,20-09-15-15-57-56,10:BD:18:C7:27:7F,25/70,-85,Unifi
-31.981019,115.818032,20-09-15-15-57-56,A0:CF:5B:3E:73:70,31/70,-79,Unifi
-31.981019,115.818085,20-09-15-15-58-04,A0:CF:5B:3C:35:9F,29/70,-81,Unifi
-31.981019,115.818085,20-09-15-15-58-04,7C:21:0E:3E:6A:6F,30/70,-80,Unifi
-31.981019,115.818085,20-09-15-15-58-04,10:BD:18:5E:A6:E0,33/70,-77,Unifi
-31.981019,115.818085,20-09-15-15-58-04,7C:21:0E:3E:68:AF,22/70,-88,Unifi
-31.981019,115.818085,20-09-15-15-58-04,10:BD:18:C7:27:7F,25/70,-85,Unifi
-31.981019,115.818085,20-09-15-15-58-04,A0:CF:5B:3E:73:70,31/70,-79,Unifi
-31.981019,115.818138,20-09-15-15-58-15,A0:CF:5B:3C:35:9F,29/70,-81,Unifi
-31.981019,115.818138,20-09-15-15-58-15,7C:21:0E:3E:6A:6F,30/70,-80,Unifi
-31.981019,115.818138,20-09-15-15-58-15,10:BD:18:5E:A6:E0,31/70,-79,Unifi
-31.981019,115.818138,20-09-15-15-58-15,7C:21:0E:3E:68:AF,22/70,-88,Unifi
-31.981019,115.818138,20-09-15-15-58-15,10:BD:18:C7:27:7F,25/70,-85,Unifi
-31.981019,115.818138,20-09-15-15-58-15,A0:CF:5B:3E:73:70,31/70,-79,Unifi
-31.981019,115.818138,20-09-15-15-58-15,A0:CF:5B:3E:0E:9F,29/70,-81,Unifi
-31.981019,115.818191,20-09-15-15-58-43,7C:21:0E:3E:68:AF,24/70,-86,Unifi
-31.981019,115.818191,20-09-15-15-58-43,A0:CF:5B:3E:0E:9F,35/70,-75,Unifi
-31.981019,115.818191,20-09-15-15-58-43,A0:CF:5B:3C:35:9F,28/70,-82,Unifi
-31.981019,115.818244,20-09-15-15-59-14,A0:CF:5B:3E:0E:9F,39/70,-71,Unifi
-31.981019,115.818244,20-09-15-15-59-14,7C:21:0E:3E:68:AF,27/70,-83,Unifi
-31.981019,115.818244,20-09-15-15-59-14,10:BD:18:C6:D6:7F,23/70,-87,Unifi
-31.981019,115.818244,20-09-15-15-59-14,7C:21:0E:3E:67:6F,26/70,-84,Unifi
-31.981019,115.818297,20-09-15-15-59-35,A0:CF:5B:3E:0E:9F,25/70,-85,Unifi
-31.981019,115.818297,20-09-15-15-59-35,7C:21:0E:3E:68:AF,30/70,-80,Unifi
-31.981019,115.818297,20-09-15-15-59-35,10:BD:18:C6:D6:7F,25/70,-85,Unifi
-31.981019,115.818297,20-09-15-15-59-35,7C:21:0E:3E:67:6F,26/70,-84,Unifi
-31.981019,115.818297,20-09-15-15-59-35,10:BD:18:5E:A6:E0,31/70,-79,Unifi
-31.981019,115.818297,20-09-15-15-59-35,7C:21:0E:3E:6A:6F,28/70,-82,Unifi
-31.981019,115.818297,20-09-15-15-59-35,A0:CF:5B:3C:35:9F,26/70,-84,Unifi
-31.981019,115.81835,20-09-15-15-59-47,A0:CF:5B:3E:0E:9F,33/70,-77,Unifi
-31.981019,115.81835,20-09-15-15-59-47,7C:21:0E:3E:68:AF,25/70,-85,Unifi
-31.981019,115.81835,20-09-15-15-59-47,10:BD:18:C6:D6:7F,25/70,-85,Unifi
-31.981019,115.81835,20-09-15-15-59-47,10:BD:18:5E:A6:E0,31/70,-79,Unifi
-31.981019,115.81835,20-09-15-15-59-47,7C:21:0E:3E:6A:6F,33/70,-77,Unifi
-31.981019,115.81835,20-09-15-15-59-47,A0:CF:5B:3C:35:9F,26/70,-84,Unifi
-31.981019,115.81835,20-09-15-15-59-47,28:6F:7F:8D:D3:6F,29/70,-81,Unifi
-31.981019,115.818403,20-09-15-15-59-59,7C:21:0E:3E:68:AF,25/70,-85,Unifi
-31.981019,115.818403,20-09-15-15-59-59,7C:21:0E:3E:6A:6F,41/70,-69,Unifi
-31.981019,115.818403,20-09-15-15-59-59,A0:CF:5B:3C:35:9F,26/70,-84,Unifi
-31.981019,115.818403,20-09-15-15-59-59,10:BD:18:5E:A6:E0,30/70,-80,Unifi
-31.981019,115.818403,20-09-15-15-59-59,A0:CF:5B:3C:2E:B0,34/70,-76,Unifi
-31.981019,115.818456,20-09-15-16-00-10,7C:21:0E:3E:68:AF,25/70,-85,Unifi
-31.981019,115.818456,20-09-15-16-00-10,7C:21:0E:3E:6A:6F,39/70,-71,Unifi
-31.981019,115.818456,20-09-15-16-00-10,A0:CF:5B:3C:35:9F,26/70,-84,Unifi
-31.981019,115.818456,20-09-15-16-00-10,10:BD:18:5E:A6:E0,36/70,-74,Unifi
-31.981019,115.818456,20-09-15-16-00-10,A0:CF:5B:3C:2E:B0,27/70,-83,Unifi
-31.981019,115.818509,20-09-15-16-00-22,7C:21:0E:3E:6A:6F,33/70,-77,Unifi
-31.981019,115.818509,20-09-15-16-00-22,A0:CF:5B:3C:35:9F,26/70,-84,Unifi
-31.981019,115.818509,20-09-15-16-00-22,A0:CF:5B:3C:2E:B0,27/70,-83,Unifi
-31.981019,115.818509,20-09-15-16-00-22,A0:CF:5B:3E:0E:9F,22/70,-88,Unifi
-31.981019,115.818509,20-09-15-16-00-22,10:BD:18:5E:A6:E0,31/70,-79,Unifi
-31.981019,115.818562,20-09-15-16-00-30,7C:21:0E:3E:6A:6F,33/70,-77,Unifi
-31.981019,115.818562,20-09-15-16-00-30,A0:CF:5B:3C:2E:B0,27/70,-83,Unifi
-31.981019,115.818562,20-09-15-16-00-30,A0:CF:5B:3E:0E:9F,38/70,-72,Unifi
-31.981019,115.818562,20-09-15-16-00-30,10:BD:18:5E:A6:E0,31/70,-79,Unifi
-31.981019,115.818562,20-09-15-16-00-30,A0:CF:5B:3C:2E:BF,34/70,-76,Unifi
-31.981019,115.818562,20-09-15-16-00-30,E8:65:49:4E:DD:1F,29/70,-81,Unifi
-31.981019,115.818615,20-09-15-16-00-58,7C:21:0E:3E:6A:6F,29/70,-81,Unifi
-31.981019,115.818615,20-09-15-16-00-58,A0:CF:5B:3E:0E:9F,42/70,-68,Unifi
-31.981019,115.818615,20-09-15-16-00-58,A0:CF:5B:3C:2E:BF,34/70,-76,Unifi
-31.981019,115.818615,20-09-15-16-00-58,E8:65:49:4E:DD:1F,29/70,-81,Unifi
-31.981019,115.818615,20-09-15-16-00-58,E8:65:49:3E:D2:2F,26/70,-84,Unifi
-31.981019,115.818668,20-09-15-16-01-10,7C:21:0E:3E:6A:6F,32/70,-78,Unifi
-31.981019,115.818668,20-09-15-16-01-10,A0:CF:5B:3E:0E:9F,42/70,-68,Unifi
-31.981019,115.818668,20-09-15-16-01-10,E8:65:49:3E:D2:2F,26/70,-84,Unifi
-31.981019,115.818721,20-09-15-16-01-29,7C:21:0E:3E:6A:6F,41/70,-69,Unifi
-31.981019,115.818721,20-09-15-16-01-29,A0:CF:5B:3E:0E:9F,29/70,-81,Unifi
-31.981019,115.818721,20-09-15-16-01-29,A0:CF:5B:3C:2E:B0,28/70,-82,Unifi
-31.981019,115.818774,20-09-15-16-01-44,7C:21:0E:3E:6A:6F,33/70,-77,Unifi
-31.981019,115.818774,20-09-15-16-01-44,A0:CF:5B:3E:0E:9F,28/70,-82,Unifi
-31.981019,115.818774,20-09-15-16-01-44,A0:CF:5B:3C:2E:B0,28/70,-82,Unifi
-31.981019,115.818774,20-09-15-16-01-44,00:2C:C8:42:AF:8F,27/70,-83,Unifi
