lat,lon,time,bssid,quality,rssi,essid
-31.979403,115.817182,20-09-15-15-20-52,7C:21:0E:3E:6A:6F,32/70,-78,Unifi
-31.979403,115.817182,20-09-15-15-20-52,00:2A:10:8F:E1:CF,28/70,-82,Unifi
-31.979403,115.817182,20-09-15-15-20-52,00:2A:10:8B:B6:70,37/70,-73,Unifi
-31.979403,115.817182,20-09-15-15-20-52,00:2A:10:8F:F6:EF,37/70,-73,Unifi
-31.979403,115.817182,20-09-15-15-20-52,00:2A:10:8F:E1:C0,30/70,-80,Unifi
-31.979403,115.817182,20-09-15-15-20-52,00:2A:10:8F:F6:E0,36/70,-74,Unifi
-31.979403,115.817182,20-09-15-15-20-52,00:2A:10:8C:FD:5F,27/70,-83,Unifi
-31.979403,115.817182,20-09-15-15-20-52,00:2A:10:8B:B6:7F,30/70,-80,Unifi
-31.979403,115.817182,20-09-15-15-20-52,00:2C:C8:42:AF:8F,32/70,-78,Unifi
-31.979403,115.817182,20-09-15-15-20-52,A0:CF:5B:3F:85:3F,31/70,-79,Unifi
-31.979403,115.817182,20-09-15-15-20-52,A0:CF:5B:00:D1:3F,31/70,-79,Unifi
-31.979448,115.817182,20-09-15-15-21-02,00:2A:10:8F:E1:CF,28/70,-82,Unifi
-31.979448,115.817182,20-09-15-15-21-02,00:2A:10:8F:F6:EF,29/70,-81,Unifi
-31.979448,115.817182,20-09-15-15-21-02,00:2A:10:8F:E1:C0,30/70,-80,Unifi
-31.979448,115.817182,20-09-15-15-21-02,00:2A:10:8F:F6:E0,36/70,-74,Unifi
-31.979448,115.817182,20-09-15-15-21-02,00:2A:10:8C:FD:5F,27/70,-83,Unifi
-31.979448,115.817182,20-09-15-15-21-02,00:2A:10:8B:B6:7F,30/70,-80,Unifi
-31.979448,115.817182,20-09-15-15-21-02,00:2C:C8:42:AF:8F,28/70,-82,Unifi
-31.979448,115.817182,20-09-15-15-21-02,A0:CF:5B:3F:85:3F,31/70,-79,Unifi
-31.979448,115.817182,20-09-15-15-21-02,A0:CF:5B:00:D1:3F,31/70,-79,Unifi
-31.979493,115.817182,20-09-15-15-21-16,00:2A:10:8F:E1:CF,27/70,-83,Unifi
-31.979493,115.817182,20-09-15-15-21-16,00:2A:10:8F:F6:EF,43/70,-67,Unifi
-31.979493,115.817182,20-09-15-15-21-16,00:2A:10:8F:F6:E0,34/70,-76,Unifi
-31.979493,115.817182,20-09-15-15-21-16,00:2A:10:8B:B6:7F,30/70,-80,Unifi
-31.979493,115.817182,20-09-15-15-21-16,00:2C:C8:42:AF:8F,28/70,-82,Unifi
-31.979493,115.817182,20-09-15-15-21-16,A0:CF:5B:3F:85:3F,29/70,-81,Unifi
-31.979493,115.817182,20-09-15-15-21-16,A0:CF:5B:00:D1:3F,31/70,-79,Unifi
-31.979493,115.817182,20-09-15-15-21-16,08:EC:F5:B9:28:4F,25/70,-85,Unifi
-31.979493,115.817182,20-09-15-15-21-16,7C:21:0E:3E:6A:6F,34/70,-76,Unifi
-31.979493,115.817182,20-09-15-15-21-16,7C:21:0E:3E:68:A0,35/70,-75,Unifi
-31.979538,115.817182,20-09-15-15-21-28,00:2A:10:8F:E1:CF,24/70,-86,Unifi
-31.979538,115.817182,20-09-15-15-21-28,00:2A:10:8F:F6:EF,33/70,-77,Unifi
-31.979538,115.817182,20-09-15-15-21-28,00:2A:10:8F:F6:E0,34/70,-76,Unifi
-31.979538,115.817182,20-09-15-15-21-28,00:2C:C8:42:AF:8F,24/70,-86,Unifi
-31.979538,115.817182,20-09-15-15-21-28,A0:CF:5B:3F:85:3F,29/70,-81,Unifi
-31.979538,115.817182,20-09-15-15-21-28,08:EC:F5:B9:28:4F,25/70,-85,Unifi
-31.979538,115.817182,20-09-15-15-21-28,7C:21:0E:3E:6A:6F,31/70,-79,Unifi
-31.979538,115.817182,20-09-15-15-21-28,7C:21:0E:3E:68:A0,39/70,-71,Unifi
-31.979538,115.817182,20-09-15-15-21-28,A0:CF:5B:00:D1:30,34/70,-76,Unifi
-31.979538,115.817182,20-09-15-15-21-28,7C:21:0E:3E:68:AF,26/70,-84,Unifi
-31.979583,115.817182,20-09-15-15-21-40,00:2A:10:8F:E1:CF,30/70,-80,Unifi
-31.979583,115.817182,20-09-15-15-21-40,00:2A:10:8F:F6:EF,39/70,-71,Unifi
-31.979583,115.817182,20-09-15-15-21-40,00:2A:10:8F:F6:E0,34/70,-76,Unifi
-31.979583,115.817182,20-09-15-15-21-40,00:2C:C8:42:AF:8F,24/70,-86,Unifi
-31.979583,115.817182,20-09-15-15-21-40,A0:CF:5B:3F:85:3F,29/70,-81,Unifi
-31.979583,115.817182,20-09-15-15-21-40,08:EC:F5:B9:28:4F,25/70,-85,Unifi
-31.979583,115.817182,20-09-15-15-21-40,7C:21:0E:3E:6A:6F,34/70,-76,Unifi
-31.979583,115.817182,20-09-15-15-21-40,7C:21:0E:3E:68:A0,39/70,-71,Unifi
-31.979583,115.817182,20-09-15-15-21-40,A0:CF:5B:00:D1:30,34/70,-76,Unifi
-31.979583,115.817182,20-09-15-15-21-40,7C:21:0E:3E:68:AF,26/70,-84,Unifi
-31.979583,115.817182,20-09-15-15-21-40,A0:E0:AF:4D:85:EF,25/70,-85,Unifi
-31.979583,115.817182,20-09-15-15-21-40,A0:CF:5B:00:D1:3F,28/70,-82,Unifi
-31.979628,115.817182,20-09-15-15-21-53,00:2A:10:8F:E1:CF,30/70,-80,Unifi
-31.979628,115.817182,20-09-15-15-21-53,00:2A:10:8F:F6:EF,38/70,-72,Unifi
-31.979628,115.817182,20-09-15-15-21-53,08:EC:F5:B9:28:4F,25/70,-85,Unifi
-31.979628,115.817182,20-09-15-15-21-53,7C:21:0E:3E:6A:6F,34/70,-76,Unifi
-31.979628,115.817182,20-09-15-15-21-53,7C:21:0E:3E:68:A0,39/70,-71,Unifi
-31.979628,115.817182,20-09-15-15-21-53,A0:CF:5B:00:D1:30,34/70,-76,Unifi
-31.979628,115.817182,20-09-15-15-21-53,7C:21:0E:3E:68:AF,26/70,-84,Unifi
-31.979628,115.817182,20-09-15-15-21-53,A0:E0:AF:4D:85:EF,25/70,-85,Unifi
-31.979628,115.817182,20-09-15-15-21-53,A0:CF:5B:00:D1:3F,28/70,-82,Unifi
-31.979673,115.817182,20-09-15-15-22-28,00:2A:10:8F:E1:CF,26/70,-84,Unifi
-31.979673,115.817182,20-09-15-15-22-28,00:2A:10:8F:F6:EF,31/70,-79,Unifi
-31.979673,115.817182,20-09-15-15-22-28,08:EC:F5:B9:28:4F,27/70,-83,Unifi
-31.979673,115.817182,20-09-15-15-22-28,7C:21:0E:3E:6A:6F,37/70,-73,Unifi
-31.979673,115.817182,20-09-15-15-22-28,A0:E0:AF:4D:85:EF,28/70,-82,Unifi
-31.979673,115.817182,20-09-15-15-22-28,00:2C:C8:42:AF:CF,33/70,-77,Unifi
-31.979673,115.817182,20-09-15-15-22-28,00:2C:C8:42:AF:8F,39/70,-71,Unifi
-31.979673,115.817182,20-09-15-15-22-28,08:EC:F5:EF:B9:0F,28/70,-82,Unifi
-31.979673,115.817182,20-09-15-15-22-28,A0:CF:5B:00:D1:30,29/70,-81,Unifi
-31.979718,115.817182,20-09-15-15-22-56,00:2A:10:8F:E1:CF,32/70,-78,Unifi
-31.979718,115.817182,20-09-15-15-22-56,08:EC:F5:B9:28:4F,29/70,-81,Unifi
-31.979718,115.817182,20-09-15-15-22-56,7C:21:0E:3E:6A:6F,27/70,-83,Unifi
-31.979718,115.817182,20-09-15-15-22-56,00:2C:C8:42:AF:CF,29/70,-81,Unifi
-31.979718,115.817182,20-09-15-15-22-56,00:2C:C8:42:AF:8F,34/70,-76,Unifi
-31.979718,115.817182,20-09-15-15-22-56,08:EC:F5:EF:B9:0F,31/70,-79,Unifi
-31.979718,115.817182,20-09-15-15-22-56,A0:CF:5B:00:D1:30,29/70,-81,Unifi
-31.979718,115.817182,20-09-15-15-22-56,00:2C:C8:42:AF:80,31/70,-79,Unifi
-31.979718,115.817182,20-09-15-15-22-56,74:88:BB:86:3B:0F,27/70,-83,Unifi
